Home _ Away;ATH;ATM;FCB;CEL;RCD;EIB;ESP;GET;GCF;LPA;LEV;MCF;RVA;RBB;RMA;RSO;SFC;RSG;VCF;VIL
ATH;;0_1;0_1;2_1;4_1;5_2;2_1;3_1;1_1;2_2;2_0;0_0;1_0;3_1;1_2;0_1;3_1;3_0;3_1;0_0
ATM;2_1;;1_2;2_0;3_0;3_1;1_0;2_0;3_0;1_0;1_0;1_0;1_0;5_1;1_1;3_0;0_0;1_0;2_1;0_0
FCB;6_0;2_1;;6_1;2_2;3_1;5_0;6_0;4_0;2_1;4_1;1_0;5_2;4_0;1_2;4_0;2_1;6_0;1_2;3_0
CEL;0_1;0_2;4_1;;1_1;3_2;1_0;0_0;2_1;3_3;4_3;1_0;3_0;1_1;1_3;1_0;1_1;2_1;1_5;0_0
RCD;2_2;1_1;0_8;2_0;;2_0;3_0;0_2;0_1;1_3;2_1;3_3;2_2;2_2;0_2;0_0;1_1;2_3;1_1;1_2
EIB;2_0;0_2;0_4;1_1;1_1;;2_1;3_1;5_1;0_1;2_0;1_2;1_0;1_1;0_2;2_1;1_1;2_0;1_1;1_2
ESP;2_1;1_3;0_0;1_1;1_0;4_2;;1_0;1_1;1_0;1_1;2_0;2_1;0_3;0_6;0_5;1_0;1_2;1_0;2_2
GET;0_1;0_1;0_2;0_1;0_0;1_1;3_1;;1_2;4_0;3_0;1_0;1_1;1_0;1_5;1_1;1_1;1_1;2_2;2_0
GCF;2_0;0_2;0_3;0_2;1_1;1_3;1_1;3_2;;3_2;5_1;0_0;2_2;1_1;1_2;0_3;2_1;2_0;1_2;1_3
LPA;0_0;0_3;1_2;2_1;0_2;0_2;4_0;4_0;4_1;;0_0;1_1;0_1;1_0;1_2;2_0;2_0;1_1;2_1;0_0
LEV;2_2;2_1;0_2;1_2;1_1;2_2;2_1;3_0;1_2;3_2;;0_1;2_1;0_1;1_3;0_4;1_1;0_0;1_0;1_0
MCF;0_1;1_0;1_2;2_0;2_0;0_0;1_1;3_0;2_2;4_1;3_1;;1_1;0_1;1_1;3_1;0_0;1_0;1_2;0_1
RVA;0_3;0_2;1_5;3_0;1_3;1_1;3_0;2_0;2_1;2_0;3_1;1_2;;0_2;2_3;2_2;2_2;2_1;0_0;2_1
RBB;1_3;0_1;0_2;1_1;1_2;0_4;1_3;2_1;2_0;1_0;1_0;0_1;2_2;;1_1;1_0;0_0;1_1;1_0;1_1
RMA;4_2;0_1;0_4;7_1;5_0;4_0;6_0;4_1;1_0;3_1;3_0;0_0;10_2;5_0;;3_1;4_0;5_1;3_2;3_0
RSO;0_0;0_2;1_0;2_3;1_1;2_1;2_3;1_2;3_0;0_1;1_1;1_1;2_1;2_1;0_1;;2_0;0_0;2_0;0_2
SFC;2_0;0_3;2_1;1_2;1_1;1_0;2_0;5_0;1_4;2_0;3_1;2_1;3_2;2_0;3_2;1_2;;2_0;1_0;4_2
RSG;0_2;2_1;1_3;0_1;1_1;2_0;2_4;1_2;3_3;3_1;0_3;1_0;2_2;1_2;0_0;5_1;2_1;;0_1;2_0
VCF;0_3;1_3;1_1;0_2;1_1;4_0;2_1;2_2;1_0;1_1;3_0;3_0;2_2;0_0;2_2;0_1;2_1;0_1;;0_2
VIL;3_1;1_0;2_2;1_2;0_2;1_1;3_1;2_0;1_0;0_1;3_0;1_0;2_1;0_0;1_0;0_0;2_1;2_0;1_0;
