Home _ Away;ARS;AST;BUR;CHE;CRY;EVE;HUL;LEI;LIV;MCI;MUN;NEW;QPR;SOU;STK;SUN;SWA;TOT;WBA;WHU
Arsenal;;5_0;3_0;0_0;2_1;2_0;2_2;2_1;4_1;2_2;1_2;4_1;2_1;1_0;3_0;0_0;0_1;1_1;4_1;3_0
Aston Villa;0_3;;0_1;1_2;0_0;3_2;2_1;2_1;0_2;0_2;1_1;0_0;3_3;1_1;1_2;0_0;0_1;1_2;2_1;1_0
Burnley;0_1;1_1;;1_3;2_3;1_3;1_0;0_1;0_1;1_0;0_0;1_1;2_1;1_0;0_0;0_0;0_1;0_0;2_2;1_3
Chelsea;2_0;3_0;1_1;;1_0;1_0;2_0;2_0;1_1;1_1;1_0;2_0;2_1;1_1;2_1;3_1;4_2;3_0;2_0;2_0
Crystal Palace;1_2;0_1;0_0;1_2;;0_1;0_2;2_0;3_1;2_1;1_2;1_1;3_1;1_3;1_1;1_3;1_0;2_1;0_2;1_3
Everton;2_2;3_0;1_0;3_6;2_3;;1_1;2_2;0_0;1_1;3_0;3_0;3_1;1_0;0_1;0_2;0_0;0_1;0_0;2_1
Hull City;1_3;2_0;0_1;2_3;2_0;2_0;;0_1;1_0;2_4;0_0;0_3;2_1;0_1;1_1;1_1;0_1;1_2;0_0;2_2
Leicester City;1_1;1_0;2_2;1_3;0_1;2_2;0_0;;1_3;0_1;5_3;3_0;5_1;2_0;0_1;0_0;2_0;1_2;0_1;2_1
Liverpool;2_2;0_1;2_0;1_2;1_3;1_1;0_0;2_2;;2_1;1_2;2_0;2_1;2_1;1_0;0_0;4_1;3_2;2_1;2_0
Manchester City;0_2;3_2;2_2;1_1;3_0;1_0;1_1;2_0;3_1;;1_0;5_0;6_0;2_0;0_1;3_2;2_1;4_1;3_0;2_0
Manchester United;1_1;3_1;3_1;1_1;1_0;2_1;3_0;3_1;3_0;4_2;;3_1;4_0;0_1;2_1;2_0;1_2;3_0;0_1;2_1
Newcastle United;1_2;1_0;3_3;2_1;3_3;3_2;2_2;1_0;1_0;0_2;0_1;;1_0;1_2;1_1;0_1;2_3;1_3;1_1;2_0
Queens Park Rangers;1_2;2_0;2_0;0_1;0_0;1_2;0_1;3_2;2_3;2_2;0_2;2_1;;0_1;2_2;1_0;1_1;1_2;3_2;0_0
Southampton;2_0;6_1;2_0;1_1;1_0;3_0;2_0;2_0;0_2;0_3;1_2;4_0;2_1;;1_0;8_0;0_1;2_2;0_0;0_0
Stoke City;3_2;0_1;1_2;0_2;1_2;2_0;1_0;0_1;6_1;1_4;1_1;1_0;3_1;2_1;;1_1;2_1;3_0;2_0;2_2
Sunderland;0_2;0_4;2_0;0_0;1_4;1_1;1_3;0_0;0_1;1_4;1_1;1_0;0_2;2_1;3_1;;0_0;2_2;0_0;1_1
Swansea City;2_1;1_0;1_0;0_5;1_1;1_1;3_1;2_0;0_1;2_4;2_1;2_2;2_0;0_1;2_0;1_1;;1_2;3_0;1_1
Tottenham Hotspur;2_1;0_1;2_1;5_3;0_0;2_1;2_0;4_3;0_3;0_1;0_0;1_2;4_0;1_0;1_2;2_1;3_2;;0_1;2_2
West Bromwich Albion;0_1;1_0;4_0;3_0;2_2;0_2;1_0;2_3;0_0;1_3;2_2;0_2;1_4;1_0;1_0;2_2;2_0;0_3;;1_2
West Ham United;1_2;0_0;1_0;0_1;1_3;1_2;3_0;2_0;3_1;2_1;1_1;1_0;2_0;1_3;1_1;1_0;3_1;0_1;1_1;
