Home _ Away;ARS;AST;BOU;CHE;CRY;EVE;LEI;LIV;MCI;MUN;NEW;NOR;SOU;STK;SUN;SWA;TOT;WAT;WBA;WHU
Arsenal;;4_0;2_0;0_1;1_1;2_1;2_1;0_0;2_1;3_0;1_0;1_0;0_0;2_0;3_1;1_2;1_1;4_0;2_0;0_2
Aston Villa;0_2;;1_2;0_4;1_0;1_3;1_1;0_6;0_0;0_1;0_0;2_0;2_4;0_1;2_2;1_2;0_2;2_3;0_1;1_1
Bournemouth;0_2;0_1;;1_4;0_0;3_3;1_1;1_2;0_4;2_1;0_1;3_0;2_0;1_3;2_0;3_2;1_5;1_1;1_1;1_3
Chelsea;2_0;2_0;0_1;;1_2;3_3;1_1;1_3;0_3;1_1;5_1;1_0;1_3;1_1;3_1;2_2;2_2;2_2;2_2;2_2
Crystal Palace;1_2;2_1;1_2;0_3;;0_0;0_1;1_2;0_1;0_0;5_1;1_0;1_0;2_1;0_1;0_0;1_3;1_2;2_0;1_3
Everton;0_2;4_0;2_1;3_1;1_1;;2_3;1_1;0_2;0_3;3_0;3_0;1_1;3_4;6_2;1_2;1_1;2_2;0_1;2_3
Leicester City;2_5;3_2;0_0;2_1;1_0;3_1;;2_0;0_0;1_1;1_0;1_0;1_0;3_0;4_2;4_0;1_1;2_1;2_2;2_2
Liverpool;3_3;3_2;1_0;1_1;1_2;4_0;1_0;;3_0;0_1;2_2;1_1;1_1;4_1;2_2;1_0;1_1;2_0;2_2;0_3
Manchester City;2_2;4_0;5_1;3_0;4_0;0_0;1_3;1_4;;0_1;6_1;2_1;3_1;4_0;4_1;2_1;1_2;2_0;2_1;1_2
Manchester United;3_2;1_0;3_1;0_0;2_0;1_0;1_1;3_1;0_0;;0_0;1_2;0_1;3_0;3_0;2_1;1_0;1_0;2_0;0_0
Newcastle United;0_1;1_1;1_3;2_2;1_0;0_1;0_3;2_0;1_1;3_3;;6_2;2_2;0_0;1_1;3_0;5_1;1_2;1_0;2_1
Norwich City;1_1;2_0;3_1;1_2;1_3;1_1;1_2;4_5;0_0;0_1;3_2;;1_0;1_1;0_3;1_0;0_3;4_2;0_1;2_2
Southampton;4_0;1_1;2_0;1_2;4_1;0_3;2_2;3_2;4_2;2_3;3_1;3_0;;0_1;1_1;3_1;0_2;2_0;3_0;1_0
Stoke City;0_0;2_1;2_1;1_0;1_2;0_3;2_2;0_1;2_0;2_0;1_0;3_1;1_2;;1_1;2_2;0_4;0_2;0_1;2_1
Sunderland;0_0;3_1;1_1;3_2;2_2;3_0;0_2;0_1;0_1;2_1;3_0;1_3;0_1;2_0;;1_1;0_1;0_1;0_0;2_2
Swansea City;0_3;1_0;2_2;1_0;1_1;0_0;0_3;3_1;1_1;2_1;2_0;1_0;0_1;0_1;2_4;;2_2;1_0;1_0;0_0
Tottenham Hotspur;2_2;3_1;3_0;0_0;1_0;0_0;0_1;0_0;4_1;3_0;1_2;3_0;1_2;2_2;4_1;2_1;;1_0;1_1;4_1
Watford;0_3;3_2;0_0;0_0;0_1;1_1;0_1;3_0;1_2;1_2;2_1;2_0;0_0;1_2;2_2;1_0;1_2;;0_0;2_0
West Bromwich Albion;2_1;0_0;1_2;2_3;3_2;2_3;2_3;1_1;0_3;1_0;1_0;0_1;0_0;2_1;1_0;1_1;1_1;0_1;;0_3
West Ham United;3_3;2_0;3_4;2_1;2_2;1_1;1_2;2_0;2_2;3_2;2_0;2_2;2_1;0_0;1_0;1_4;1_0;3_1;1_1;
